27902,7955,199,190,295,143,74415,19678,125,69,516,25,21,400;;;;;;;;;;;;;;;;
19980,4065,235,209,477,0,61132,15172,136,99,730,0,18,400;;;;;;;;;;;;;;;;
14019,945,81,93,336,321,52628,3941,0,0,302,384,14,402;;;;;;;;;;;;;;;;
15057,6795,174,137,729,157,51545,24555,58,32,632,63,15,403;;;;;;;;;;;;;;;;
15935,5215,281,231,458,40,53832,20948,214,209,706,0,15,403;;;;;;;;;;;;;;;;
830536,118281,7828,2875,21346,6347,1523850,177487,7123,2495,20543,8342,59,404;;;;;;;;;;;;;;;;
15756,1313,162,178,349,0,63662,4567,85,73,525,0,14,404;;;;;;;;;;;;;;;;
123671,7088,285,0,225,387,175762,9192,189,111,377,484,51,405;;;;;;;;;;;;;;;;
13202,1295,230,115,306,194,57533,4544,160,0,109,90,13,406;;;;;;;;;;;;;;;;
19169,2709,80,84,0,243,56738,6549,0,57,0,340,18,407;;;;;;;;;;;;;;;;
17523,1559,102,118,241,330,65465,5113,0,21,87,298,15,407;;;;;;;;;;;;;;;;
425295,87121,6389,2787,17996,5449,726780,131135,6027,2649,16910,6348,50,408;;;;;;;;;;;;;;;;
19982,2231,141,190,347,101,70041,5810,127,75,509,30,17,409;;;;;;;;;;;;;;;;
23056,2932,208,27,493,415,57574,7552,72,35,357,432,21,411;;;;;;;;;;;;;;;;
31622,5153,142,0,593,0,51717,9883,101,0,516,274,16,412;;;;;;;;;;;;;;;;
23146,2930,77,42,455,409,52615,8051,43,0,381,375,22,412;;;;;;;;;;;;;;;;
22744,3830,194,71,344,118,69450,13866,148,0,542,124,18,412;;;;;;;;;;;;;;;;
17781,3604,20,128,280,245,67033,10319,0,18,33,221,15,412;;;;;;;;;;;;;;;;
256514,31147,5148,2042,6816,1026,472528,50278,4838,2056,7528,1329,52,414;;;;;;;;;;;;;;;;
20050,1455,174,180,535,84,65618,4170,106,73,484,15,17,414;;;;;;;;;;;;;;;;
14626,498,197,128,533,108,59114,1951,131,29,529,0,13,415;;;;;;;;;;;;;;;;
16599,7661,299,254,67,214,66692,24356,271,165,282,207,14,416;;;;;;;;;;;;;;;;
878597,94325,296,0,0,0,718845,81663,161,81,121,265,105,416;;;;;;;;;;;;;;;;
15561,2704,364,196,294,111,54727,7777,347,91,165,95,16,418;;;;;;;;;;;;;;;;
17067,2173,263,198,550,138,61883,6495,172,91,670,114,15,418;;;;;;;;;;;;;;;;
1229159,2451567,5757,1222,1585,0,1578147,3341473,5155,1041,1340,441,72,418;;;;;;;;;;;;;;;;
13442,1083,145,183,408,327,52274,4141,1,113,139,463,13,418;;;;;;;;;;;;;;;;
12654,7489,398,233,386,69,58451,24749,425,139,614,0,13,419;;;;;;;;;;;;;;;;
31266,3333,98,136,417,0,71137,6654,60,54,359,281,18,419;;;;;;;;;;;;;;;;
14830,2124,150,175,601,95,61304,6733,164,65,595,25,14,420;;;;;;;;;;;;;;;;
20638,2090,81,125,395,149,64007,5478,0,66,321,62,17,420;;;;;;;;;;;;;;;;
815400,160575,8016,2990,20089,5852,1727170,260089,8222,3110,20949,7328,62,420;;;;;;;;;;;;;;;;
844946,102644,9649,3293,33050,9677,1286828,145741,8866,2955,31836,9951,52,420;;;;;;;;;;;;;;;;
178655,22117,99,168,893,8252,392104,39270,149,157,1070,11380,40,421;;;;;;;;;;;;;;;;
456820,197932,394,457,1137,3351,332103,110746,293,221,980,1281,131,421;;;;;;;;;;;;;;;;
982771,262919,16006,5765,46952,13896,1212943,334060,12612,4292,35497,12998,64,423;;;;;;;;;;;;;;;;
13309,419,156,121,264,92,51596,1728,56,0,15,24,13,424;;;;;;;;;;;;;;;;
15536,880,168,107,81,356,54057,3024,101,46,119,373,16,424;;;;;;;;;;;;;;;;
290694,53903,11835,5209,12814,909,464102,81602,11745,4856,12431,742,43,424;;;;;;;;;;;;;;;;
46153,5743,0,33,118,0,95192,11987,0,56,256,47,37,424;;;;;;;;;;;;;;;;
19546,2307,212,162,165,146,61352,7276,108,50,107,57,18,425;;;;;;;;;;;;;;;;
1492306,46880,897,806,190,0,636358,19458,266,210,700,478,187,426;;;;;;;;;;;;;;;;
15470,1099,186,154,529,129,53222,3815,149,66,355,206,15,426;;;;;;;;;;;;;;;;
1003863,273536,13431,4469,37005,11466,1480839,402443,11847,3973,33235,11869,58,426;;;;;;;;;;;;;;;;
163844,454843,183,89,380,0,300384,783303,188,93,554,0,46,427;;;;;;;;;;;;;;;;
15389,863,119,206,419,61,50637,3843,28,152,493,0,15,430;;;;;;;;;;;;;;;;
53011,4280,98,236,621,162,105678,6681,100,104,592,260,34,432;;;;;;;;;;;;;;;;
129059,9039,157,0,971,246,128053,6790,213,0,911,391,75,432;;;;;;;;;;;;;;;;
22165,1179,348,39,244,13,85258,4384,317,0,0,62,16,432;;;;;;;;;;;;;;;;
12528,665,139,204,255,0,51528,2811,3,117,119,9,13,432;;;;;;;;;;;;;;;;
2463843,910977,827,346,1094,1270,2592160,1135838,437,292,608,1481,83,434;;;;;;;;;;;;;;;;
25845,18941,80,239,674,194,82512,99647,69,158,700,155,17,434;;;;;;;;;;;;;;;;
53242,11281,0,0,920,126,86463,17127,0,0,832,68,40,434;;;;;;;;;;;;;;;;
17621,7442,101,174,676,74,57409,24982,0,76,649,112,17,435;;;;;;;;;;;;;;;;
762744,70770,605,609,505,966,372622,40381,233,181,356,342,153,435;;;;;;;;;;;;;;;;
25697,1834,20,248,220,242,69207,5494,0,186,170,284,20,436;;;;;;;;;;;;;;;;
16476,2852,206,149,411,240,63693,9854,111,31,373,253,15,437;;;;;;;;;;;;;;;;
11716,1950,66,253,485,55,57002,9416,0,221,356,0,12,438;;;;;;;;;;;;;;;;
17469,1985,99,227,323,0,59474,7842,37,208,87,85,16,438;;;;;;;;;;;;;;;;
22247,2060,267,198,657,103,63531,5500,226,141,520,245,19,438;;;;;;;;;;;;;;;;
22453,3012,141,78,428,265,84295,8693,34,0,268,273,16,439;;;;;;;;;;;;;;;;
26590,2742,181,149,0,30,83424,7236,127,27,0,0,19,439;;;;;;;;;;;;;;;;
161483,23428,148,143,0,75,147242,24393,132,108,248,561,73,439;;;;;;;;;;;;;;;;
16955,25249,107,233,270,228,51441,72866,58,120,428,516,17,439;;;;;;;;;;;;;;;;
706326,116880,8114,3324,29575,9685,1054394,173542,7696,3161,26898,10932,58,440;;;;;;;;;;;;;;;;
16286,1248,83,169,478,30,55878,4198,0,53,400,0,16,443;;;;;;;;;;;;;;;;
28496,5225,209,124,225,121,70803,11811,251,0,300,229,23,445;;;;;;;;;;;;;;;;
17587,1467,114,142,651,84,67805,5390,47,0,765,0,16,445;;;;;;;;;;;;;;;;
31101,6581,136,142,103,426,104761,17127,18,131,0,563,19,446;;;;;;;;;;;;;;;;
925389,92899,8905,4060,23942,8624,1703849,138754,9003,4102,24585,11655,54,446;;;;;;;;;;;;;;;;
476472,33442,0,134,400,455,913417,57133,34,120,460,584,54,447;;;;;;;;;;;;;;;;
151413,21858,171,148,314,0,109238,16939,160,191,300,307,100,447;;;;;;;;;;;;;;;;
1024150,131066,20043,9392,25038,1190,1598261,209713,20094,9189,24202,1439,76,447;;;;;;;;;;;;;;;;
14884,379,142,184,192,0,50416,2461,76,164,41,0,15,447;;;;;;;;;;;;;;;;
14297,408,177,84,442,231,54868,2733,61,3,321,193,14,448;;;;;;;;;;;;;;;;
25178,1048,382,0,194,38,66411,3751,324,0,68,178,22,448;;;;;;;;;;;;;;;;
22105,5431,150,101,162,43,55629,12179,78,62,0,39,21,449;;;;;;;;;;;;;;;;
25849,2956,156,204,491,313,58535,7673,52,61,470,159,23,449;;;;;;;;;;;;;;;;
14013,1981,93,218,302,253,61475,6866,0,244,223,348,13,450;;;;;;;;;;;;;;;;
67461,24323,47,213,278,0,125111,41062,104,105,333,365,34,450;;;;;;;;;;;;;;;;
160377,5744,370,163,164,421,219977,8333,189,146,287,600,49,450;;;;;;;;;;;;;;;;
914491,4453905,2967,728,2144,497,1093358,6580369,2556,556,2096,523,61,452;;;;;;;;;;;;;;;;
13306,561,218,115,356,69,52970,2305,119,0,209,119,13,452;;;;;;;;;;;;;;;;
542136,180737,6266,2189,13891,4113,937256,299092,6089,2079,14891,4432,51,453;;;;;;;;;;;;;;;;
94198,17507,300,309,721,0,99516,20201,181,172,537,382,65,453;;;;;;;;;;;;;;;;
12382,1645,212,165,200,0,55715,7152,164,174,0,0,12,453;;;;;;;;;;;;;;;;
530951,100612,7981,3183,18123,6992,857764,143262,6644,2435,16605,6416,55,457;;;;;;;;;;;;;;;;
21924,3177,200,175,84,78,65541,8811,113,91,0,0,18,458;;;;;;;;;;;;;;;;
4171033,146662,105,0,385,754,1907958,70833,163,135,853,514,222,459;;;;;;;;;;;;;;;;
52019,5763,156,86,452,121,91689,8819,80,1,268,97,39,459;;;;;;;;;;;;;;;;
15586,9122,107,159,186,152,54605,28358,0,78,131,53,16,459;;;;;;;;;;;;;;;;
12029,3223,83,169,604,180,51737,11140,0,72,664,358,13,460;;;;;;;;;;;;;;;;
799325,102229,9263,3693,28483,8252,1159709,148689,8417,3154,24948,9094,71,460;;;;;;;;;;;;;;;;
17684,1215,263,222,394,72,60574,3098,198,169,196,0,16,461;;;;;;;;;;;;;;;;
31149,2707,232,237,430,267,67575,5208,164,186,373,413,25,461;;;;;;;;;;;;;;;;
704892,110648,6493,2649,20712,7057,1234061,179375,6599,2403,21786,7248,43,461;;;;;;;;;;;;;;;;
30034,2735,288,59,192,230,93252,6652,247,0,64,277,20,462;;;;;;;;;;;;;;;;
21617,8873,61,198,345,112,70476,23592,4,158,242,0,17,463;;;;;;;;;;;;;;;;
255503,28376,183,0,21,100,205095,25502,258,26,418,229,85,464;;;;;;;;;;;;;;;;
12097,1235,110,218,266,256,52663,4156,23,167,27,306,12,464;;;;;;;;;;;;;;;;
16265,1438,136,104,92,120,64446,4681,11,65,0,50,14,464;;;;;;;;;;;;;;;;
186750,18562,0,295,438,134,246991,23933,56,172,387,374,58,466;;;;;;;;;;;;;;;;
19478,2245,235,249,211,359,66498,6748,202,154,29,346,17,470;;;;;;;;;;;;;;;;
14925,1701,288,99,338,259,51964,5778,248,35,332,225,15,471;;;;;;;;;;;;;;;;
860461,134910,9359,3746,24321,8406,1463531,209666,9038,3114,26735,12884,60,472;;;;;;;;;;;;;;;;
18155,3168,142,149,280,209,59685,9583,63,32,127,98,16,472;;;;;;;;;;;;;;;;
15077,2657,87,169,397,126,50541,7815,0,158,390,152,15,472;;;;;;;;;;;;;;;;
12282,4552,119,27,261,16,52252,17963,4,0,49,0,13,472;;;;;;;;;;;;;;;;
242096,34174,9688,3546,8318,0,372402,52349,9297,3576,8397,598,54,473;;;;;;;;;;;;;;;;
16874,2901,209,187,640,209,55086,8300,142,148,626,186,17,474;;;;;;;;;;;;;;;;
11893,2493,107,178,228,304,50119,8281,63,90,0,244,12,474;;;;;;;;;;;;;;;;
16850,1443,142,160,345,92,54206,3955,8,104,116,65,16,477;;;;;;;;;;;;;;;;
397752,149078,5532,2172,13621,949,634711,234332,4644,1661,12630,1498,52,479;;;;;;;;;;;;;;;;
779713,118447,10571,3699,31466,8374,1075902,168152,9547,3604,29487,7064,71,482;;;;;;;;;;;;;;;;
14639,10589,111,146,195,13,51306,38169,15,157,0,0,15,483;;;;;;;;;;;;;;;;
16340,1021,159,196,375,196,50958,2671,55,95,194,346,16,484;;;;;;;;;;;;;;;;
20428,767,157,74,323,0,53007,2377,125,0,147,273,19,484;;;;;;;;;;;;;;;;
26786,1450,130,165,59,131,62683,3642,64,63,173,201,22,484;;;;;;;;;;;;;;;;
16411,1266,0,168,101,368,51354,3822,0,82,178,360,16,484;;;;;;;;;;;;;;;;
14536,766,168,146,375,344,52620,2622,138,44,207,559,15,485;;;;;;;;;;;;;;;;
15164,812,209,201,489,225,73128,3026,105,124,457,173,13,485;;;;;;;;;;;;;;;;
925818,160091,8463,2942,24081,7497,1744199,255627,8284,2885,25169,9065,59,486;;;;;;;;;;;;;;;;
58552,5263,116,184,338,316,76105,7463,87,142,253,551,42,486;;;;;;;;;;;;;;;;
18211,2375,127,137,388,225,57877,7637,45,0,131,378,17,488;;;;;;;;;;;;;;;;
37649,1383,117,375,239,396,83299,2588,67,224,263,544,39,490;;;;;;;;;;;;;;;;
19691,964,218,103,291,91,59270,2650,137,0,279,0,18,490;;;;;;;;;;;;;;;;
18609,1615,116,119,325,77,63976,4292,7,35,230,0,16,492;;;;;;;;;;;;;;;;
16366,8543,186,149,0,30,52276,23654,103,17,0,127,16,492;;;;;;;;;;;;;;;;
17078,6051,187,193,341,185,53226,20447,82,105,295,217,17,492;;;;;;;;;;;;;;;;
501674,34986,71,54,0,55,984688,60635,60,47,346,343,49,492;;;;;;;;;;;;;;;;
33168,5152,220,213,327,0,72081,10479,118,175,239,98,25,493;;;;;;;;;;;;;;;;
226264,31294,459,145,1438,291,118159,19009,215,114,698,492,127,493;;;;;;;;;;;;;;;;
15898,3700,232,275,255,86,55943,11108,183,217,199,143,15,493;;;;;;;;;;;;;;;;
13638,4971,217,149,359,126,53530,16372,109,113,404,236,13,493;;;;;;;;;;;;;;;;
22209,9637,261,110,353,0,58844,23539,155,44,364,0,19,496;;;;;;;;;;;;;;;;
19705,1410,116,125,284,137,68041,4084,0,0,108,0,16,497;;;;;;;;;;;;;;;;
286149,20617,455,107,579,203,462578,33002,215,203,358,312,60,497;;;;;;;;;;;;;;;;
142383,9664,98,136,431,106,285223,17355,21,87,317,305,37,498;;;;;;;;;;;;;;;;
285915,29208,513,357,482,0,202390,25355,246,188,701,178,101,498;;;;;;;;;;;;;;;;
24122,1979,159,190,275,296,74018,5093,105,99,226,373,20,498;;;;;;;;;;;;;;;;
33989,13125,0,75,125,0,67591,23354,0,31,644,0,35,498;;;;;;;;;;;;;;;;
1306151,228196,19979,7149,71424,25708,1790267,313180,17602,6311,63712,25163,62,499;;;;;;;;;;;;;;;;
14532,2221,181,133,444,314,53694,6916,226,10,707,455,14,501;;;;;;;;;;;;;;;;
96623,74125,306,280,818,239,134797,100413,236,187,445,301,47,503;;;;;;;;;;;;;;;;
14072,768,90,151,447,250,50071,3607,8,25,385,371,15,503;;;;;;;;;;;;;;;;
95479,13953,258,268,694,74,85603,13124,172,176,418,441,57,504;;;;;;;;;;;;;;;;
27062,3537,197,109,226,151,67963,10289,123,0,90,182,21,504;;;;;;;;;;;;;;;;
15640,13091,126,119,175,52,57968,37872,13,81,0,0,15,505;;;;;;;;;;;;;;;;
640743,66381,13563,5933,16266,827,1052090,105008,13546,5878,16072,1095,53,505;;;;;;;;;;;;;;;;
57683,8288,0,149,388,263,70778,13172,65,173,409,573,44,505;;;;;;;;;;;;;;;;
532618,128966,7367,2559,27951,6901,776253,188614,5978,2167,26312,6359,55,506;;;;;;;;;;;;;;;;
808859,154125,8065,3015,25143,8285,1369150,251088,7782,2831,25730,8570,57,506;;;;;;;;;;;;;;;;
36593,179062,276,30,103,0,94299,386767,156,24,358,0,24,507;;;;;;;;;;;;;;;;
47595,6886,129,210,133,555,105518,13480,52,121,241,894,27,507;;;;;;;;;;;;;;;;
17680,3395,136,28,259,189,57897,10141,3,0,279,254,16,509;;;;;;;;;;;;;;;;
13877,1131,123,222,59,77,52171,3489,33,105,0,62,14,510;;;;;;;;;;;;;;;;
277225,18639,674,277,170,0,420445,25606,341,146,178,132,57,511;;;;;;;;;;;;;;;;
14462,7287,166,80,441,389,60501,22247,76,0,364,428,13,511;;;;;;;;;;;;;;;;
23771,1950,162,142,253,169,75896,5252,129,62,101,292,19,512;;;;;;;;;;;;;;;;
16148,1586,108,186,549,191,52894,4621,0,117,405,215,16,512;;;;;;;;;;;;;;;;
17458,1875,178,177,333,157,56132,6238,69,134,160,139,16,515;;;;;;;;;;;;;;;;
115619,17547,0,0,62,9,138801,21838,91,48,586,231,56,515;;;;;;;;;;;;;;;;
13650,1365,87,163,176,117,50641,4569,56,79,383,75,14,515;;;;;;;;;;;;;;;;
15915,2770,258,146,228,132,53338,10555,203,11,418,132,16,516;;;;;;;;;;;;;;;;
135105,17561,17,271,0,117,205947,26427,32,196,167,194,52,518;;;;;;;;;;;;;;;;
23680,824,56,237,399,9,71787,2835,0,152,372,0,20,520;;;;;;;;;;;;;;;;
14437,1670,202,118,226,154,64887,6443,126,0,0,9,13,524;;;;;;;;;;;;;;;;
27410,21849,122,54,0,7,82125,47725,1,0,0,132,20,525;;;;;;;;;;;;;;;;
25277,11755,156,95,195,3,87094,39922,109,0,134,74,17,525;;;;;;;;;;;;;;;;
205546,14805,648,739,370,21,104118,7592,183,199,440,281,134,530;;;;;;;;;;;;;;;;
21696,3823,306,198,120,182,61931,9399,216,89,105,159,19,530;;;;;;;;;;;;;;;;
37785,5488,255,195,262,146,77228,9864,147,108,137,284,29,532;;;;;;;;;;;;;;;;
24435,1117,169,77,580,151,71162,3912,96,0,467,61,19,533;;;;;;;;;;;;;;;;
36602,26073,83,275,194,140,73532,54439,21,145,322,119,27,536;;;;;;;;;;;;;;;;
14854,5494,0,143,98,114,50707,19474,0,71,0,57,15,536;;;;;;;;;;;;;;;;
976498,224501,10697,3727,30145,9790,1703072,357767,10365,3453,29152,11317,68,536;;;;;;;;;;;;;;;;
117357,12638,296,31,755,0,237566,20047,163,7,481,0,48,538;;;;;;;;;;;;;;;;
209854,11057,0,216,334,52,374071,17318,0,85,248,117,50,542;;;;;;;;;;;;;;;;
16890,1477,229,275,186,3,54984,3185,88,243,212,36,14,545;;;;;;;;;;;;;;;;
472125,62230,7138,2930,5237,0,751617,90917,6396,2388,5949,698,62,545;;;;;;;;;;;;;;;;
218759,50040,4397,1786,3268,260,411323,86831,3841,1677,2677,592,40,546;;;;;;;;;;;;;;;;
12847,7181,183,216,466,367,52647,30557,120,215,479,415,13,546;;;;;;;;;;;;;;;;
39127,5577,290,31,632,66,65751,8032,157,0,508,47,30,552;;;;;;;;;;;;;;;;
20854,2440,78,190,406,288,71168,6949,0,86,483,499,17,552;;;;;;;;;;;;;;;;
13922,989,214,80,339,355,50962,4765,131,5,262,431,14,554;;;;;;;;;;;;;;;;
125645,11417,0,160,455,0,104375,7336,67,249,418,527,96,554;;;;;;;;;;;;;;;;
13717,2165,196,178,450,620,56489,10246,122,67,305,1804,13,554;;;;;;;;;;;;;;;;
16054,1789,229,96,444,4,55573,6923,119,31,243,11,16,555;;;;;;;;;;;;;;;;
30485,4659,193,104,430,202,80078,10708,60,11,353,302,22,556;;;;;;;;;;;;;;;;
987863,198952,8780,3477,22087,9018,1884280,338054,9020,3558,22707,9137,47,558;;;;;;;;;;;;;;;;
127256,23322,377,322,0,246,107975,21706,179,125,721,275,75,559;;;;;;;;;;;;;;;;
1098650,138484,799,0,295,0,444052,50071,253,142,517,340,201,560;;;;;;;;;;;;;;;;
20077,3206,69,84,217,168,62454,8079,1,105,14,115,18,561;;;;;;;;;;;;;;;;
944989,165509,11660,4336,31729,8805,1532968,251162,10764,3711,31512,9130,53,563;;;;;;;;;;;;;;;;
139154,7999,254,136,394,200,201859,12043,75,106,670,393,49,563;;;;;;;;;;;;;;;;
17866,4392,191,57,215,101,51539,9608,87,0,60,296,17,563;;;;;;;;;;;;;;;;
1202141,309940,17055,5681,40777,12930,1803953,434015,14973,5011,36172,11603,71,564;;;;;;;;;;;;;;;;
11827,1133,229,68,231,98,50104,3755,175,0,0,0,12,565;;;;;;;;;;;;;;;;
20345,1444,87,175,358,128,55584,3819,0,112,149,113,19,566;;;;;;;;;;;;;;;;
20600,1133,142,171,297,63,50279,3356,62,101,116,74,21,567;;;;;;;;;;;;;;;;
31468,1847,258,0,388,0,64685,3803,161,0,211,172,29,567;;;;;;;;;;;;;;;;
12978,275,290,128,220,57,58222,3068,240,0,186,0,12,567;;;;;;;;;;;;;;;;
12481,938,200,174,422,0,53354,3349,107,83,323,0,12,568;;;;;;;;;;;;;;;;
143532,33795,279,121,835,5206,230082,52183,249,119,710,5181,51,572;;;;;;;;;;;;;;;;
17474,1710,81,213,131,328,50742,4566,24,105,0,530,18,573;;;;;;;;;;;;;;;;
24010,1683,171,34,84,0,58814,3942,49,124,0,44,22,579;;;;;;;;;;;;;;;;
16369,3788,34,183,314,146,58299,11538,0,88,317,259,16,579;;;;;;;;;;;;;;;;
1220629,135402,12346,4686,43765,13271,2057660,193287,11862,4474,46091,13346,65,580;;;;;;;;;;;;;;;;
21901,5587,147,189,694,100,51675,14367,53,117,788,246,22,580;;;;;;;;;;;;;;;;
862922,205923,11051,4168,36418,16320,1336033,306423,10087,3537,35193,15621,59,580;;;;;;;;;;;;;;;;
397909,1411217,1909,924,1125,126,494299,1966681,1997,473,1276,153,52,580;;;;;;;;;;;;;;;;
22257,5234,586,421,918,220,63437,12698,772,382,749,326,20,581;;;;;;;;;;;;;;;;
16499,1495,166,140,388,524,51739,3844,57,11,210,597,16,581;;;;;;;;;;;;;;;;
12042,446,171,240,31,177,54281,2339,66,181,0,470,12,584;;;;;;;;;;;;;;;;
23524,2619,258,180,471,185,59452,5460,123,103,622,218,21,584;;;;;;;;;;;;;;;;
81865,12140,288,109,403,0,81651,14574,166,126,393,148,58,585;;;;;;;;;;;;;;;;
23540,7594,276,65,195,114,57335,17878,186,9,242,201,22,586;;;;;;;;;;;;;;;;
17370,3652,217,148,241,0,59658,13917,121,38,0,0,16,586;;;;;;;;;;;;;;;;
970499,274753,11384,4384,37966,9997,1398224,402900,9402,3812,33392,8091,73,587;;;;;;;;;;;;;;;;
13377,147,171,115,256,311,51880,1064,40,1,61,901,13,587;;;;;;;;;;;;;;;;
15402,3918,119,134,272,33,52522,11351,4,24,228,0,15,590;;;;;;;;;;;;;;;;
23148,22377,113,242,255,299,63054,54499,0,108,154,407,20,590;;;;;;;;;;;;;;;;
18724,1264,71,145,170,220,54138,3111,0,36,0,287,18,592;;;;;;;;;;;;;;;;
684116,113221,6719,2918,23710,7065,1210288,168462,7229,2656,21446,8907,54,592;;;;;;;;;;;;;;;;
1399536,240616,19590,6896,45517,9498,2369295,368349,19090,7001,46059,7850,58,593;;;;;;;;;;;;;;;;
839739,131142,8862,3163,23340,8988,1506132,218839,8882,3117,23501,12137,48,596;;;;;;;;;;;;;;;;
69271,39595,147,0,255,0,73181,44546,120,65,498,176,58,596;;;;;;;;;;;;;;;;
104640,14741,638,187,93,0,95329,14499,251,213,259,201,79,597;;;;;;;;;;;;;;;;
42680,4429,148,180,741,206,110356,10056,79,119,870,357,24,597;;;;;;;;;;;;;;;;
24728,4574,120,251,575,91,69205,12259,52,131,994,52,21,597;;;;;;;;;;;;;;;;
1066570,306004,13603,5619,50787,16324,1487663,453821,12265,4769,45768,15828,70,601;;;;;;;;;;;;;;;;
14929,75,245,227,277,159,59924,326,158,169,90,49,13,602;;;;;;;;;;;;;;;;
18930,1405,244,207,494,92,58181,3563,135,151,516,3,18,602;;;;;;;;;;;;;;;;
21017,1234,194,112,638,0,55725,3194,223,18,441,0,19,602;;;;;;;;;;;;;;;;
37295,14179,0,109,0,0,74477,35033,0,22,0,6,28,602;;;;;;;;;;;;;;;;
31813,14303,172,163,414,0,73511,35684,66,109,299,0,25,602;;;;;;;;;;;;;;;;
823207,101824,9386,3919,30093,5637,1577680,162457,9087,3949,31203,7041,49,602;;;;;;;;;;;;;;;;
33572,3964,227,151,272,163,100956,9691,114,34,60,231,22,603;;;;;;;;;;;;;;;;
654787,67514,7038,2659,22103,7537,1121889,100772,6245,2645,20404,8225,54,603;;;;;;;;;;;;;;;;
17419,1873,0,271,67,98,57042,4744,0,188,0,0,16,604;;;;;;;;;;;;;;;;
21912,1396,162,118,472,226,58685,3788,89,120,479,118,19,604;;;;;;;;;;;;;;;;
18916,902,352,153,402,20,61775,2623,349,64,270,0,16,606;;;;;;;;;;;;;;;;
47847,4214,312,227,590,234,93674,8496,166,86,891,165,30,607;;;;;;;;;;;;;;;;
1023696,95263,87,0,721,0,671657,72045,204,99,494,330,123,608;;;;;;;;;;;;;;;;
54742,4330,113,180,175,66,143692,8709,91,107,122,132,28,608;;;;;;;;;;;;;;;;
845223,179937,10117,3268,30270,12400,1341786,274188,9454,3138,29617,12506,63,608;;;;;;;;;;;;;;;;
24606,16365,96,174,403,301,55508,31937,100,41,219,462,23,609;;;;;;;;;;;;;;;;
31987,3528,50,142,183,458,81568,9018,11,63,19,523,22,612;;;;;;;;;;;;;;;;
30193,3718,223,80,494,0,107313,9010,143,69,364,181,18,613;;;;;;;;;;;;;;;;
695977,103302,9456,3890,31281,7669,1062564,148548,9061,3484,29087,7181,63,614;;;;;;;;;;;;;;;;
804974,151982,6519,2803,25294,7777,1426780,250067,6526,2710,24645,10343,56,616;;;;;;;;;;;;;;;;
18046,6401,162,109,107,134,57270,18268,42,0,59,22,17,616;;;;;;;;;;;;;;;;
42219,18605,376,395,507,84,57633,31069,191,176,369,340,43,618;;;;;;;;;;;;;;;;
26853,12041,102,142,452,125,58232,21920,0,47,512,49,24,619;;;;;;;;;;;;;;;;
1002242,95338,9063,3313,27011,10790,1766549,156728,9114,3229,27889,11847,45,627;;;;;;;;;;;;;;;;
57043,6371,337,0,322,180,97779,11505,267,0,523,197,43,628;;;;;;;;;;;;;;;;
315376,28277,43,369,20,219,223327,24962,105,159,180,442,107,629;;;;;;;;;;;;;;;;
17874,3254,224,9,442,1,50278,8233,165,0,348,0,18,631;;;;;;;;;;;;;;;;
1022904,148547,10377,4331,35384,13510,1848496,235018,10446,4325,36102,15075,51,632;;;;;;;;;;;;;;;;
668543,78385,8959,3060,24942,6932,1008582,110299,8570,2737,25854,6281,66,633;;;;;;;;;;;;;;;;
23691,7666,135,290,0,480,80713,19656,12,199,0,545,18,634;;;;;;;;;;;;;;;;
13995,1012,257,272,4,171,53184,3231,200,202,0,274,13,635;;;;;;;;;;;;;;;;
214108,94275,450,81,212,61,378018,163506,249,61,141,514,41,636;;;;;;;;;;;;;;;;
14681,2162,102,13,270,179,52805,6983,14,0,150,114,14,637;;;;;;;;;;;;;;;;
194718,40779,5450,2186,6088,1924,346702,68253,4955,1972,5641,1942,38,637;;;;;;;;;;;;;;;;
76413,6700,120,213,198,154,111445,9052,131,137,160,267,48,644;;;;;;;;;;;;;;;;
516319,151544,8355,2986,21153,7641,804026,231534,7639,2715,20557,8806,58,647;;;;;;;;;;;;;;;;
1096110,83771,447,0,455,345,1314063,107211,239,50,373,498,71,648;;;;;;;;;;;;;;;;
565788,251718,7901,2731,17348,4882,898455,385466,6882,2501,16173,4061,58,649;;;;;;;;;;;;;;;;
22553,5859,239,184,87,463,59153,13107,168,46,0,543,21,649;;;;;;;;;;;;;;;;
31945,4199,107,78,266,356,58420,5820,75,51,145,261,27,651;;;;;;;;;;;;;;;;
814610,94581,24034,10843,28566,3945,1131138,136301,21129,9856,24713,5939,61,652;;;;;;;;;;;;;;;;
54368,2967,156,92,450,287,120694,5434,96,65,318,701,29,653;;;;;;;;;;;;;;;;
999994,350840,14566,5139,40774,11622,1435169,473054,12756,4541,38479,11438,65,654;;;;;;;;;;;;;;;;
25785,6550,59,157,201,636,69252,13731,22,131,51,631,21,656;;;;;;;;;;;;;;;;
86003,52411,13,187,64,0,126942,92723,25,81,220,1,40,657;;;;;;;;;;;;;;;;
574040,143644,6816,2636,17243,3261,1100102,241349,6730,2484,16632,4076,46,657;;;;;;;;;;;;;;;;
11687,2964,251,171,691,521,51495,17681,343,129,957,686,12,657;;;;;;;;;;;;;;;;
643806,96753,8347,3027,25154,8105,1013895,136987,7540,2616,24932,9820,70,658;;;;;;;;;;;;;;;;
84672,6371,135,213,707,145,178276,10829,71,84,524,289,34,658;;;;;;;;;;;;;;;;
1071714,151487,10673,3992,35870,8760,1793417,237377,10403,3851,35451,11122,66,658;;;;;;;;;;;;;;;;
